ID	Name	Type
20840874	哪些东西买了之后，会让人因生活质量和幸福感提升而感觉相见恨晚？	购物
20894671	日常生活中有哪些十分钟就能学会并可以终生受用的技能？	社会
36546814	有哪些软件堪称「神器」，却不为大众所知？	应用（软件）
22238159	你有什么相见恨晚的知识想推荐给年轻人？	调查类问题
27391031	怎么花最少的钱提升出租屋的格调？	生活
20958648	淘宝上有哪些网购美食？	淘宝网
35216653	有哪些物美价廉的淘宝店值得推荐？	生活
38485891	有什么好看到让人浑身颤抖、无法自拔、久久不忘的电影？	艺术
21758700	Excel 有哪些可能需要熟练掌握而很多人不会的技能？	生活
28358499	如何长时间高效学习？	心理学
27325912	哪些纪录片让你开阔眼界、增长见识？	电影
22467582	有哪些很重要又被忽视的炒菜技巧？	生活
35112627	哪些知识技能一定要掌握？	生活
28626263	哪些素质很重要，却是读书学不来的？	生活
38501171	有哪些你看过一眼就难以忘怀的句子？？？	电影
35781319	喜欢宅的人，如何把家里装修成全世界最舒服的地方？	设计
35005800	想要充实自己，有哪 10 本书和 10 部电影值得推荐？	文化
22292474	哪些实用的小方法、小技巧、好习惯能让人每天进步？	生活
28070036	有哪些可以提升情商、判断力和谈话技巧的书籍？	心理学
23933357	淘宝上有哪些很显格调和品味的东西？	生活
23136740	有点贵但很值得买的商品有哪些？	生活
24399575	有哪些价格不贵格调又高的家装家居？	生活
23271389	有哪些出租屋实用神器？	装修
20535575	有哪些书适合每天睡前读，有趣又能学到知识的？	生活
20381470	体质极差的人如何从头开始恢复身体素质？	健康
23054572	有哪些 100 元以下，很少见但高大上的物件？	生活
24269892	现实可以有多美好？	生活
22390958	有哪些让你相见恨晚的化妆品和护肤品？	化妆品
20250029	男生如何找准自己的穿衣风格，提升衣着品味？	生活
27712663	如何让自己变得更加优秀？	教育
35667984	减肥对外貌的改变有多大？	减肥
38632401	有什么知识，你知道后你的世界马上就不一样了？	生活
20846401	哪些技能，经较短时间的学习，就可以给人的生活带来巨大帮助？	工作
